#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Product Type,Vendor,Product
1,CVE-2001-0679,,,Exec Code Overflow,1999-11-08,2017-12-18,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Trend Micro,Interscan Viruswall
2,CVE-2000-1206,,,,1999-08-20,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Apache,Http Server
3,CVE-2000-0531,,,DoS,1999-11-23,2017-12-18,2.1,None,Local,Low,Not required,None,None,Partial,OS,Caldera,Openlinux
3,CVE-2000-0531,,,DoS,1999-11-23,2017-12-18,2.1,None,Local,Low,Not required,None,None,Partial,OS,Caldera,Openlinux Eserver
3,CVE-2000-0531,,,DoS,1999-11-23,2017-12-18,2.1,None,Local,Low,Not required,None,None,Partial,OS,Redhat,Linux
4,CVE-2000-0489,,,DoS,1999-09-05,2017-10-09,2.1,None,Local,Low,Not required,None,None,Partial,OS,Freebsd,Freebsd
4,CVE-2000-0489,,,DoS,1999-09-05,2017-10-09,2.1,None,Local,Low,Not required,None,None,Partial,OS,Netbsd,Netbsd
4,CVE-2000-0489,,,DoS,1999-09-05,2017-10-09,2.1,None,Local,Low,Not required,None,None,Partial,OS,Openbsd,Openbsd
5,CVE-2000-0481,,,DoS Overflow,1999-06-01,2017-10-09,5.0,None,Remote,Low,Not required,None,None,Partial,Application,KDE,K-mail
6,CVE-2000-0412,,,,1999-05-01,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,Napster,Knapster
7,CVE-2000-0374,,,Bypass +Info,1999-08-22,2017-10-09,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,Caldera,Openlinux
8,CVE-2000-0373,,,'+Priv,1999-06-01,2017-10-09,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,KDE,KVT
9,CVE-2000-0371,,,,1999-03-01,2008-09-10,1.2,None,Local,High,Not required,None,Partial,None,OS,KDE,KDE
10,CVE-2000-0370,,,Exec Code,1999-01-29,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,Caldera,Openlinux
11,CVE-2000-0369,,,DoS,1999-10-08,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Caldera,Openlinux
12,CVE-2000-0367,,,'+Priv,1999-02-18,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Michael Jennings,Eterm
13,CVE-2000-0366,,,,1999-12-02,2008-09-10,2.1,None,Local,Low,Not required,None,Partial,None,OS,Debian,Debian Linux
14,CVE-2000-0365,,,,1999-06-01,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,OS,Redhat,Linux
15,CVE-2000-0364,,,,1999-06-01,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,OS,Redhat,Linux
16,CVE-2000-0363,,,'+Priv,1999-10-22,2008-09-10,6.2,Admin,Local,High,Not required,Complete,Complete,Complete,OS,Suse,Suse Linux
17,CVE-2000-0362,,,Overflow +Priv,1999-10-22,2008-09-10,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,Suse,Suse Linux
18,CVE-2000-0361,,,,1999-12-14,2008-09-10,2.1,None,Local,Low,Not required,Partial,None,None,OS,Suse,Suse Linux
19,CVE-2000-0358,,,,1999-12-03,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Redhat,Linux
20,CVE-2000-0357,,,,1999-12-03,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,OS,Redhat,Linux
21,CVE-2000-0356,,,,1999-10-13,2008-09-10,4.6,User,Local,Low,Not required,Partial,Partial,Partial,OS,Redhat,Linux
22,CVE-2000-0355,,,,1999-08-21,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,OS,Bent Bagger,Pbpg
22,CVE-2000-0355,,,,1999-08-21,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,OS,Redhat,Linux
22,CVE-2000-0355,,,,1999-08-21,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,OS,Suse,Suse Linux
23,CVE-2000-0353,,,Exec Code,1999-06-28,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,University Of Washington,Pine
24,CVE-2000-0352,,,Exec Code,1999-11-18,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,University Of Washington,Pine
25,CVE-2000-0333,,,DoS,1999-05-31,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Ethereal Group,Ethereal
25,CVE-2000-0333,,,DoS,1999-05-31,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,LBL,Tcpdump
26,CVE-2000-0330,,,Exec Code,1999-11-12,2018-10-12,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,OS,Microsoft,Windows 95
26,CVE-2000-0330,,,Exec Code,1999-11-12,2018-10-12,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,OS,Microsoft,Windows 98
27,CVE-2000-0329,,,,1999-11-11,2018-10-12,5.1,User,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,IE
27,CVE-2000-0329,,,,1999-11-11,2018-10-12,5.1,User,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,Outlook
27,CVE-2000-0329,,,,1999-11-11,2018-10-12,5.1,User,Remote,High,Not required,Partial,Partial,Partial,Application,Microsoft,Outlook Express
28,CVE-2000-0328,,,,1999-08-24,2018-10-12,5.0,None,Remote,Low,Not required,Partial,None,None,OS,Microsoft,Windows Nt
29,CVE-2000-0327,,,Exec Code,1999-10-21,2018-10-12,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,Application,Microsoft,Virtual Machine
30,CVE-2000-0325,,,Exec Code,1999-08-20,2018-10-12,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Microsoft,JET
31,CVE-2000-0323,,,,1999-07-28,2018-10-15,7.6,Admin,Remote,High,Not required,Complete,Complete,Complete,Application,Microsoft,JET
32,CVE-2000-0165,,,Exec Code Overflow,1999-11-13,2018-05-02,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,ETL,Delegate
33,CVE-2000-0153,,,,1999-03-26,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Frontpage
33,CVE-2000-0153,,,,1999-03-26,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Microsoft,Personal Web Server
34,CVE-2000-0139,,,DoS,1999-12-03,2016-10-17,2.1,None,Local,Low,Not required,None,None,Partial,Application,True North,Internet Anywhere Mail Server
35,CVE-2000-0119,,,,1999-12-22,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Mcafee,Virusscan
35,CVE-2000-0119,,,,1999-12-22,2016-10-17,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Symantec,Norton Antivirus
36,CVE-2000-0118,,,,1999-06-09,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,Redhat,Linux
36,CVE-2000-0118,,,,1999-06-09,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SUN,Solaris
36,CVE-2000-0118,,,,1999-06-09,2018-10-30,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,OS,SUN,Sunos
37,CVE-2000-0100,,,'+Priv,1999-12-29,2018-10-12,7.2,Admin,Local,Low,Not required,Complete,Complete,Complete,Application,Microsoft,Systems Management Server
38,CVE-2000-0076,,,,1999-12-30,2016-10-17,2.1,None,Local,Low,Not required,None,Partial,None,OS,Berkeley,NVI
38,CVE-2000-0076,,,,1999-12-30,2016-10-17,2.1,None,Local,Low,Not required,None,Partial,None,OS,Debian,Debian Linux
39,CVE-2000-0073,,,DoS Overflow,1999-11-17,2018-10-12,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Microsoft,Windows 2000
39,CVE-2000-0073,,,DoS Overflow,1999-11-17,2018-10-12,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Microsoft,Windows 98
39,CVE-2000-0073,,,DoS Overflow,1999-11-17,2018-10-12,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Microsoft,Windows Nt
40,CVE-2000-0068,,,,1999-12-14,2016-10-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Application,Intel,Inbusiness Email Station
41,CVE-2000-0060,,,DoS Overflow,1999-12-27,2016-10-17,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Avirt,Rover
42,CVE-2000-0054,,,,1999-01-03,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Solution Scripts,Home Free
43,CVE-2000-0047,,,DoS Overflow,1999-10-01,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,Application,Yahoo,Pager
44,CVE-2000-0043,,,Exec Code Overflow,1999-12-30,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,Camshot,Webcam Http Server
45,CVE-2000-0042,,,DoS Exec Code Overflow,1999-12-29,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,CSM,Mail Server
46,CVE-2000-0041,,,,1999-12-28,2008-09-10,5.0,None,Remote,Low,Not required,None,None,Partial,OS,Apple,Mac Os
47,CVE-2000-0040,,,'+Priv,1999-12-23,2008-09-10,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Glftpd,Glftpd
48,CVE-2000-0039,,,,1999-12-29,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Altavista,Search Intranet
49,CVE-2000-0038,,,,1999-12-23,2008-09-10,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Application,Glftpd,Glftpd
50,CVE-2000-0037,,,'+Priv,1999-12-28,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Application,Great Circle Associates,Majordomo
51,CVE-2000-0036,,,,1999-12-22,2018-10-12,5.0,None,Remote,Low,Not required,None,Partial,None,Application,Microsoft,IE
51,CVE-2000-0036,,,,1999-12-22,2018-10-12,5.0,None,Remote,Low,Not required,None,Partial,None,Application,Microsoft,Outlook Express
52,CVE-2000-0035,,,'+Priv,1999-12-28,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,Application,Great Circle Associates,Majordomo
53,CVE-2000-0034,,,,1999-12-22,2008-09-10,5.0,None,Remote,Low,Not required,Partial,None,None,Application,Netscape,Communicator
54,CVE-2000-0033,,,,1999-12-27,2008-09-10,5.0,None,Remote,Low,Not required,None,Partial,None,Application,Trend Micro,Interscan Viruswall
55,CVE-2000-0032,,,,1999-12-22,2018-10-30,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,SUN,Solaris
55,CVE-2000-0032,,,,1999-12-22,2018-10-30,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,SUN,Sunos
56,CVE-2000-0030,,,,1999-12-22,2018-10-30,5.0,None,Remote,Low,Not required,None,None,Partial,OS,SUN,Solaris
56,CVE-2000-0030,,,,1999-12-22,2018-10-30,5.0,None,Remote,Low,Not required,None,None,Partial,OS,SUN,Sunos
57,CVE-2000-0029,,,'+Priv,1999-12-27,2016-10-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,OS,SCO,Unixware
58,CVE-2000-0028,,,Bypass,1999-12-23,2008-09-10,2.6,None,Remote,High,Not required,Partial,None,None,Application,Microsoft,IE
59,CVE-2000-0027,,,'+Priv,1999-12-27,2008-09-10,6.2,Admin,Local,High,Not required,Complete,Complete,Complete,Application,IBM,Network Station Manager
60,CVE-2000-0026,,,Overflow,1999-12-21,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,OS,SCO,Unixware
60,CVE-2000-0026,,,Overflow,1999-12-21,2016-10-17,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,Application,Windowmaker,Wmmon
